Comment	Description	Designator	Footprint	LibRef	Quantity

"0603_MUX4"	""	"R103, R104, R105, R106"	"0603_MUX4"	"0603_MUX4"	"4"
"600R@100Mhz"	""	"L300, L600, L601"	"0805"	"L"	"3"
"93LC56C"	"2K Microwire Compatible Serial EEPROM"	"IC601"	"MSOP8"	"93LC56C"	"1"
"LMK00304"	"3-GHz 4-Output Differential Clock Buffer/Level Translator"	"IC701"	"WQFN32_LONG"	"LMK00304"	"1"
"GPIO"	"16POLPF"	"P3"	"16POL_PF2"	"16POLPF"	"1"
"TPS7A4700"	"36V, 1A, Low Noise, RF LDO Voltage Regulator"	"IC500, IC502"	"VQFN20_LONG"	"TPS7A4700"	"2"
"VHDCI-68"	"68-Pin VHDCI Connector"	"P1"	"VHDCI-68_M"	"MALE_VHDCI-68"	"1"
"USB TYP MICRO-B"	"10118194-0001LF"	"P2"	"USB_MICRO_B_SMD_4DIP"	"USB TYP MICRO-B"	"1"
"120R@100Mhz"	"742792023"	"L500, L502, L503, L504, L506, L507"	"0805"	"L"	"6"
"10.00MHz"	"AST3TQ-10.00MHz-1"	"XO700"	"AST3TQ"	"OSZILLATOR_4P SMD"	"1"
"100n"	"C"	"C101, C102, C103, C104, C106, C107, C108, C110, C111, C114, C115, C120, C155, C200, C201, C204, C208, C209, C212, C300, C301, C302, C303, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313, C314, C315, C316, C317, C318, C400, C401, C402, C403, C404, C405, C406, C407, C408, C409, C410, C501, C507, C516, C523, C601, C602, C603, C605, C606, C607, C608, C610, C612, C615, C747"	"0603 SMALL OUTLINE"	"C"	"64"
"100n"	"C"	"C725, C728, C740, C741, C743, C744, C745, C748"	"0402"	"C"	"8"
"100p"	"C"	"C521"	"0603 SMALL OUTLINE"	"C"	"1"
"10n"	"C"	"C511, C520, C737"	"0603 SMALL OUTLINE"	"C"	"3"
"10n"	"C"	"C702, C703, C704, C706, C707, C712, C713, C714, C716, C719, C720, C726, C727, C729"	"0402"	"C"	"14"
